epoch,tr_loss,tr_acc,val_loss,val_acc
1,0.994445,0.617643,0.837599,0.684000
2,0.758118,0.720393,0.769591,0.713667
3,0.695898,0.743124,0.839133,0.663333
4,0.674925,0.749608,0.749295,0.714333
5,0.638149,0.763645,0.648948,0.741000
6,0.617594,0.773906,0.579796,0.789000
7,0.595915,0.776614,0.573376,0.797667
8,0.586168,0.784025,0.583285,0.789333
9,0.569060,0.790651,0.560057,0.801333
10,0.554633,0.796993,0.543210,0.813333
