epoch,tr_loss,tr_acc,val_loss,val_acc
1,0.295961,0.897463,0.190932,0.932333
2,0.134852,0.952401,0.227254,0.926667
3,0.086229,0.970500,0.215170,0.931667
4,0.055298,0.982186,0.214492,0.936000
5,0.044093,0.986604,0.226639,0.935333
6,0.032108,0.990737,0.227642,0.932333
7,0.029555,0.990808,0.263073,0.930000
8,0.021394,0.993658,0.252409,0.934667
9,0.021634,0.993088,0.293323,0.937333
10,0.016351,0.994300,0.278428,0.935000
