epoch,tr_loss,tr_acc,val_loss,val_acc
1,0.465829,0.844948,0.296719,0.892667
2,0.306438,0.891122,0.277652,0.896000
3,0.299587,0.891193,0.263715,0.901000
4,0.287145,0.898176,0.265371,0.901000
5,0.282269,0.895753,0.268478,0.901000
6,0.281395,0.900955,0.264081,0.903333
7,0.269798,0.901026,0.260478,0.899667
8,0.271775,0.898532,0.296751,0.892333
9,0.264213,0.903805,0.260687,0.906000
10,0.258079,0.903021,0.270153,0.898333
